Rows,"Insert time, ms","Select time, ms","Index size, MiB"
200k,559,20,8
400k,640,3,16
600k,696,3,22
800k,722,4,33
1000k,701,5,39
1200k,713,3,45
1400k,840,3,56
1600k,893,3,65
1800k,768,3,71
2000k,890,3,77
2200k,815,3,83
2400k,798,3,91
2600k,807,3,100
2800k,830,3,111
3000k,824,5,120
3200k,871,6,129
3400k,1007,6,136
3600k,1057,7,143
3800k,1063,6,148
4000k,1077,7,154
4200k,1384,7,160
4400k,1667,12,167
4600k,1473,7,174
4800k,1473,7,182
5000k,1716,9,192
5200k,1432,8,201
5400k,1816,8,211
5600k,1692,11,221
5800k,1961,10,231
6000k,1668,8,240
6200k,2344,10,249
6400k,1800,13,257
6600k,2453,11,265
6800k,2640,9,272
7000k,2261,9,278
7200k,3128,9,285
7400k,2766,9,291
7600k,3450,9,297
7800k,2888,9,303
8000k,2277,10,308
8200k,3010,11,315
8400k,3628,16,321
8600k,3540,11,328
8800k,3451,12,334
9000k,3397,9,342
9200k,3485,11,349
9400k,3667,12,358
9600k,4048,9,366
9800k,4337,12,375
10000k,3455,13,384
10200k,3884,10,393
10400k,4000,11,403
10600k,4224,14,412
10800k,4395,10,422
11000k,4474,12,431
11200k,4165,10,441
11400k,5490,10,451
11600k,4665,10,460
11800k,4544,11,469
12000k,4389,29,478
12200k,4893,11,487
12400k,4701,13,495
12600k,4438,10,504
12800k,6391,10,511
13000k,4432,11,520
13200k,5342,10,527
13400k,4833,12,534
13600k,5230,11,541
13800k,5351,10,548
14000k,6461,10,555
14200k,6450,13,562
14400k,6030,10,568
14600k,6609,13,575
14800k,5864,15,581
15000k,6859,12,587
15200k,5676,11,593
15400k,6791,14,599
15600k,5090,11,605
15800k,8551,15,612
16000k,7517,11,618
16200k,5549,13,624
16400k,8347,12,630
16600k,8214,11,637
16800k,5394,15,643
17000k,7187,11,650
17200k,6047,12,657
17400k,6945,13,664
17600k,6185,14,671
17800k,6835,11,679
18000k,6833,16,686
18200k,7139,13,694
18400k,6443,12,702
18600k,7852,11,710
18800k,7049,10,718
19000k,6749,12,727
19200k,7848,11,735
19400k,7333,10,743
19600k,8329,14,752
19800k,8540,11,761
20000k,8235,11,770
